,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-10-03,3810.0,3810.0,3810.0,3810.0,2728.35986328125,0,2783.2611490885415,2828.6142578125
2000-10-04,3700.0,3950.0,3590.0,3890.0,2785.647705078125,82635000,2747.455810546875,2808.56337890625
2000-10-05,4020.0,4080.0,3940.0,3940.0,2821.453125,62745000,2778.4868977864585,2791.37685546875
2000-10-06,3800.0,3900.0,3760.0,3900.0,2792.80859375,54935000,2799.9698079427085,2771.325830078125
2000-10-09,3820.0,3840.0,3680.0,3690.0,2642.42724609375,63195000,2752.2296549479165,2754.139306640625
2000-10-10,3700.0,3810.0,3590.0,3660.0,2620.943603515625,62145000,2685.3931477864585,2732.6560546875
2000-10-11,3450.0,3460.0,3210.0,3220.0,2305.857177734375,103605000,2523.0760091145835,2636.69794921875
2000-10-12,3140.0,3280.0,3140.0,3140.0,2248.569091796875,79535000,2391.7899576822915,2522.121142578125
2000-10-13,3000.0,3090.0,2830.0,3030.0,2169.796630859375,115295000,2241.4076334635415,2397.51875
2000-10-16,3030.0,3030.0,3030.0,3030.0,2169.796630859375,0,2196.0541178385415,2302.992626953125
2000-10-17,2980.0,3080.0,2730.0,2740.0,1962.1268310546875,65300000,2100.5733642578125,2171.2292724609374
2000-10-18,2540.0,2760.0,2420.0,2730.0,1954.9659423828125,164215000,2028.963134765625,2101.051025390625
2000-10-19,2730.0,3050.0,2690.0,2900.0,2076.7041015625,137720000,1997.9322916666667,2066.67802734375
2000-10-20,3240.0,3330.0,3190.0,3330.0,2384.62890625,118825000,2138.766316731771,2109.644482421875
2000-10-23,3490.0,3520.0,3160.0,3200.0,2291.535400390625,139960000,2250.9561360677085,2133.992236328125
2000-10-24,3180.0,3420.0,3100.0,3340.0,2391.790283203125,97115000,2355.98486328125,2219.9249267578125
2000-10-25,3200.0,3260.0,3130.0,3210.0,2298.696044921875,68730000,2327.340576171875,2288.670947265625
2000-10-26,2930.0,3030.0,2740.0,2890.0,2069.543212890625,133290000,2253.3431803385415,2287.23876953125
2000-10-27,2890.0,2890.0,2890.0,2890.0,2069.543212890625,0,2145.927490234375,2224.221630859375
2000-10-30,2800.0,2880.0,2720.0,2750.0,1969.2879638671875,36830000,2036.1247965494792,2159.7721435546873
2000-10-31,2750.0,2850.0,2630.0,2850.0,2040.89892578125,63190000,2026.5767008463542,2089.5938720703125
2000-11-01,3000.0,3270.0,2960.0,3260.0,2334.502197265625,94165000,2114.8963623046875,2096.7551025390626
2000-11-02,3200.0,3430.0,3170.0,3320.0,2377.46875,123180000,2250.9566243489585,2158.3402099609375
2000-11-03,3420.0,3470.0,3370.0,3440.0,2463.400634765625,80420000,2391.79052734375,2237.1116943359375
2000-11-06,3460.0,3670.0,3380.0,3510.0,2513.52783203125,71865000,2451.4657389322915,2345.95966796875
2000-11-07,3460.0,3550.0,3380.0,3440.0,2463.400634765625,53740000,2480.1097005208335,2430.460009765625
2000-11-08,3400.0,3460.0,3280.0,3410.0,2441.91748046875,58215000,2472.9486490885415,2451.94306640625
2000-11-09,3300.0,3430.0,3260.0,3400.0,2434.757080078125,52305000,2446.6917317708335,2463.400732421875
2000-11-10,3360.0,3440.0,3320.0,3380.0,2420.43505859375,35140000,2432.369873046875,2454.8076171875
2000-11-13,3220.0,3260.0,3100.0,3150.0,2255.730224609375,51070000,2370.3074544270835,2403.248095703125
2000-11-14,3210.0,3320.0,3210.0,3290.0,2355.985107421875,31755000,2344.0501302083335,2381.764990234375
2000-11-15,3450.0,3460.0,3320.0,3390.0,2427.59521484375,55720000,2346.4368489583335,2378.900537109375
2000-11-16,3400.0,3420.0,3250.0,3280.0,2348.823974609375,37420000,2377.4680989583335,2361.713916015625
2000-11-17,3180.0,3230.0,3150.0,3220.0,2305.857177734375,36225000,2360.7587890625,2338.79833984375
2000-11-20,3160.0,3210.0,3100.0,3100.0,2219.925537109375,26795000,2291.5355631510415,2331.63740234375
2000-11-21,3080.0,3170.0,2970.0,3160.0,2262.8916015625,51620000,2262.8914388020835,2313.018701171875
2000-11-22,3100.0,3220.0,3080.0,3140.0,2248.569091796875,37710000,2243.79541015625,2277.2134765625
2000-11-23,3140.0,3260.0,3140.0,3210.0,2298.696044921875,44645000,2270.05224609375,2267.187890625
2000-11-24,3310.0,3400.0,3270.0,3400.0,2434.757080078125,45530000,2327.3407389322915,2292.96787109375
2000-11-27,3600.0,3800.0,3570.0,3780.0,2706.876953125,100220000,2480.1100260416665,2390.358154296875
2000-11-28,3650.0,3650.0,3500.0,3520.0,2520.68896484375,59770000,2554.107666015625,2441.917626953125
2000-11-29,3300.0,3350.0,3200.0,3220.0,2305.857177734375,54300000,2511.1410319010415,2453.375244140625
2000-11-30,3220.0,3290.0,3150.0,3240.0,2320.1796875,63315000,2382.241943359375,2457.67197265625
2000-12-01,3080.0,3220.0,3040.0,3180.0,2277.21337890625,96425000,2301.0834147135415,2426.163232421875
2000-12-04,3220.0,3250.0,3080.0,3100.0,2219.925537109375,51875000,2272.4395345052085,2328.77294921875
2000-12-05,3160.0,3250.0,3120.0,3240.0,2320.1796875,58400000,2272.4395345052085,2288.67109375
2000-12-06,3410.0,3430.0,3210.0,3210.0,2298.696044921875,95890000,2279.6004231770835,2287.2388671875
2000-12-07,3210.0,3260.0,3160.0,3260.0,2334.502197265625,43020000,2317.7926432291665,2290.103369140625
2000-12-08,3260.0,3390.0,3260.0,3370.0,2413.27392578125,47575000,2348.8240559895835,2317.315478515625
2000-12-11,3480.0,3630.0,3480.0,3580.0,2563.655517578125,70575000,2437.1438802083335,2386.061474609375
2000-12-12,3580.0,3650.0,3500.0,3500.0,2506.3671875,73745000,2494.4322102864585,2423.298974609375
2000-12-13,3500.0,3780.0,3500.0,3780.0,2706.876953125,84140000,2592.2998860677085,2504.93515625
2000-12-14,3620.0,3680.0,3560.0,3620.0,2592.2998046875,66965000,2601.8479817708335,2556.494677734375
2000-12-15,3620.0,3640.0,3480.0,3490.0,2499.2060546875,52960000,2599.4609375,2573.681103515625
2000-12-18,3500.0,3590.0,3490.0,3560.0,2549.333251953125,34350000,2546.9463704427085,2570.816650390625
2000-12-19,3560.0,3570.0,3510.0,3530.0,2527.849609375,25445000,2525.4629720052085,2575.113134765625
2000-12-20,3420.0,3450.0,3320.0,3340.0,2391.790283203125,53675000,2489.65771484375,2512.09580078125
2000-12-21,3120.0,3300.0,3070.0,3240.0,2320.1796875,76625000,2413.273193359375,2457.67177734375
