,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-08-23,6450.0,6450.0,6160.0,6190.0,4432.6884765625,27905000,6306.666666666667,6312.0
2000-08-24,6260.0,6300.0,6100.0,6220.0,4454.17236328125,31700000,6290.0,6268.0
2000-08-25,6180.0,6400.0,6110.0,6400.0,4583.07177734375,21960000,6270.0,6308.0
2000-08-28,6340.0,6380.0,6260.0,6330.0,4532.94287109375,17630000,6316.666666666667,6320.0
2000-08-29,6320.0,6380.0,6160.0,6220.0,4454.17236328125,16765000,6316.666666666667,6272.0
2000-08-30,6140.0,6190.0,6020.0,6030.0,4318.11279296875,23735000,6193.333333333333,6240.0
2000-08-31,5900.0,5900.0,5380.0,5470.0,3917.0927734375,114120000,5906.666666666667,6090.0
2000-09-01,5540.0,5600.0,5420.0,5540.0,3967.220947265625,49955000,5680.0,5918.0
2000-09-04,5440.0,5550.0,5310.0,5340.0,3824.000244140625,28625000,5450.0,5720.0
2000-09-05,5260.0,5340.0,5030.0,5150.0,3687.940673828125,79765000,5343.333333333333,5506.0
2000-09-06,5200.0,5280.0,5090.0,5150.0,3687.940673828125,53120000,5213.333333333333,5330.0
2000-09-07,4940.0,4980.0,4760.0,4790.0,3430.141357421875,83905000,5030.0,5194.0
2000-09-08,4900.0,4930.0,4790.0,4880.0,3494.59228515625,57170000,4940.0,5062.0
2000-09-11,4880.0,4880.0,4880.0,4880.0,3494.59228515625,0,4850.0,4970.0
2000-09-12,4880.0,4880.0,4880.0,4880.0,3494.59228515625,0,4880.0,4916.0
2000-09-13,4880.0,4880.0,4880.0,4880.0,3494.59228515625,0,4880.0,4862.0
2000-09-14,4600.0,4710.0,4440.0,4710.0,3372.853515625,106130000,4823.333333333333,4846.0
2000-09-15,4500.0,4620.0,4300.0,4350.0,3115.056884765625,82695000,4646.666666666667,4740.0
2000-09-18,4010.0,4120.0,3700.0,3970.0,2842.936279296875,146305000,4343.333333333333,4558.0
2000-09-19,3990.0,4370.0,3900.0,4160.0,2978.996826171875,100525000,4160.0,4414.0
2000-09-20,4600.0,4660.0,4460.0,4600.0,3294.082275390625,103410000,4243.333333333333,4358.0
2000-09-21,4590.0,4660.0,4320.0,4400.0,3150.8623046875,65445000,4386.666666666667,4296.0
2000-09-22,3840.0,4050.0,3780.0,3800.0,2721.198486328125,103265000,4266.666666666667,4186.0
2000-09-25,3880.0,4110.0,3840.0,4090.0,2928.869140625,65985000,4096.666666666667,4210.0
2000-09-26,3900.0,4040.0,3900.0,4000.0,2864.420166015625,58430000,3963.3333333333335,4178.0
2000-09-27,4000.0,4100.0,3960.0,4030.0,2885.903564453125,69795000,4040.0,4064.0
2000-09-28,4100.0,4190.0,4030.0,4060.0,2907.385986328125,52470000,4030.0,3996.0
2000-09-29,4120.0,4120.0,3940.0,4040.0,2893.063720703125,57535000,4043.3333333333335,4044.0
2000-10-02,3840.0,3880.0,3760.0,3810.0,2728.359619140625,41120000,3970.0,3988.0
2000-10-03,3810.0,3810.0,3810.0,3810.0,2728.359619140625,0,3886.6666666666665,3950.0
2000-10-04,3700.0,3950.0,3590.0,3890.0,2785.648193359375,82635000,3836.6666666666665,3922.0
2000-10-05,4020.0,4080.0,3940.0,3940.0,2821.453369140625,62745000,3880.0,3898.0
2000-10-06,3800.0,3900.0,3760.0,3900.0,2792.808837890625,54935000,3910.0,3870.0
2000-10-09,3820.0,3840.0,3680.0,3690.0,2642.427001953125,63195000,3843.3333333333335,3846.0
2000-10-10,3700.0,3810.0,3590.0,3660.0,2620.943115234375,62145000,3750.0,3816.0
2000-10-11,3450.0,3460.0,3210.0,3220.0,2305.858154296875,103605000,3523.3333333333335,3682.0
2000-10-12,3140.0,3280.0,3140.0,3140.0,2248.5693359375,79535000,3340.0,3522.0
2000-10-13,3000.0,3090.0,2830.0,3030.0,2169.797607421875,115295000,3130.0,3348.0
2000-10-16,3030.0,3030.0,3030.0,3030.0,2169.797607421875,0,3066.6666666666665,3216.0
2000-10-17,2980.0,3080.0,2730.0,2740.0,1962.127685546875,65300000,2933.3333333333335,3032.0
2000-10-18,2540.0,2760.0,2420.0,2730.0,1954.9661865234375,164215000,2833.3333333333335,2934.0
2000-10-19,2730.0,3050.0,2690.0,2900.0,2076.7041015625,137720000,2790.0,2886.0
2000-10-20,3240.0,3330.0,3190.0,3330.0,2384.62890625,118825000,2986.6666666666665,2946.0
2000-10-23,3490.0,3520.0,3160.0,3200.0,2291.535888671875,139960000,3143.3333333333335,2980.0
2000-10-24,3180.0,3420.0,3100.0,3340.0,2391.791015625,97115000,3290.0,3100.0
2000-10-25,3200.0,3260.0,3130.0,3210.0,2298.6962890625,68730000,3250.0,3196.0
2000-10-26,2930.0,3030.0,2740.0,2890.0,2069.542724609375,133290000,3146.6666666666665,3194.0
2000-10-27,2890.0,2890.0,2890.0,2890.0,2069.542724609375,0,2996.6666666666665,3106.0
2000-10-30,2800.0,2880.0,2720.0,2750.0,1969.288818359375,36830000,2843.3333333333335,3016.0
2000-10-31,2750.0,2850.0,2630.0,2850.0,2040.8985595703125,63190000,2830.0,2918.0
2000-11-01,3000.0,3270.0,2960.0,3260.0,2334.501708984375,94165000,2953.3333333333335,2928.0
2000-11-02,3200.0,3430.0,3170.0,3320.0,2377.4677734375,123180000,3143.3333333333335,3014.0
2000-11-03,3420.0,3470.0,3370.0,3440.0,2463.4013671875,80420000,3340.0,3124.0
2000-11-06,3460.0,3670.0,3380.0,3510.0,2513.52734375,71865000,3423.3333333333335,3276.0
2000-11-07,3460.0,3550.0,3380.0,3440.0,2463.4013671875,53740000,3463.3333333333335,3394.0
2000-11-08,3400.0,3460.0,3280.0,3410.0,2441.917724609375,58215000,3453.3333333333335,3424.0
2000-11-09,3300.0,3430.0,3260.0,3400.0,2434.756103515625,52305000,3416.6666666666665,3440.0
2000-11-10,3360.0,3440.0,3320.0,3380.0,2420.434326171875,35140000,3396.6666666666665,3428.0
2000-11-13,3220.0,3260.0,3100.0,3150.0,2255.730712890625,51070000,3310.0,3356.0
2000-11-14,3210.0,3320.0,3210.0,3290.0,2355.985107421875,31755000,3273.3333333333335,3326.0
2000-11-15,3450.0,3460.0,3320.0,3390.0,2427.595947265625,55720000,3276.6666666666665,3322.0
